"","GEOID","insur_rate","medn_incm","educ_rate","PoC","EJStress","BrwnFl_500","BrwnFl_250","BrwnFl_1k"
"192","340010135003",0.955056179775281,0.372258510965956,0.604072398190045,0.162118780096308,0.28,0,0,0
"193","340019834001",0.979218034519197,NA,0.583941605839416,0.357293127629734,0.4,0,0,0
"194","340030010011",1,0.435454258182967,0.612774451097804,0.273498233215548,0.68,0,0,0
"195","340030010012",0.969594594594595,0.800828796684813,0.872047244094488,0.190315315315315,0.64,0,0,0
"196","340030010013",1,0.742709029163883,0.611032531824611,0.259941804073715,0.48,0,0,0
"197","340030010021",1,1,0.826128722382325,0.117206982543641,0.52,0,0,0
"198","340030010022",0.910058541777541,0.544105823576706,0.720371804802479,0.336881319850985,0.64,0,0,0
"199","340030021001",0.973268529769137,0.709497162011352,0.72744014732965,0.3681652490887,0.52,0,0,0
"200","340030021002",0.972843450479233,0.976604093583626,0.858947368421053,0.42332268370607,0.44,0,0,0
"201","340030022001",0.994854202401372,0.443330226679093,0.704072398190045,0.496283590623213,0.84,0,0,0
"202","340030022002",0.906202723146747,0.376750492998028,0.391566265060241,0.512966476913346,0.72,0,0,0
"203","340030022003",0.970430107526882,0.7749969000124,0.377777777777778,0.293010752688172,0.68,0,0,0
"204","340030022004",0.977812995245642,0.499998000008,0.644139387539599,0.436608557844691,0.6,0,0,0
"205","340030023001",0.939970717423133,0.502997988008048,0.376937383756975,0.283010365029292,0.6,0,0,0
"206","340030023002",0.959977765425236,0.687393250426998,0.811194653299916,0.564758198999444,0.56,0,0,0
"207","340030023003",0.975594874923734,0.57999768000928,0.658238884045336,0.389261744966443,0.8,0,0,0
"208","340030031001",0.989966555183946,0.491110035559858,0.410891089108911,0.579710144927536,0.56,0,0,0
"209","340030031002",0.92741935483871,0.549813800744797,0.446808510638298,0.762672811059908,0.6,0,0,0
"210","340030031003",0.842748091603053,0.441706233175067,0.684045881126173,0.745801526717557,0.6,0,0,0
"211","340030031004",0.965413533834587,0.288862844548622,0.438053097345133,0.968421052631579,0.72,0,0,0
"212","340030031005",0.93433734939759,0.496562013751945,0.416326530612245,0.715060240963855,0.76,0,0,0
"213","340030032001",0.935574229691877,0.404722381110476,0.51067615658363,0.76750700280112,0.88,0,0,0
"214","340030032002",0.871778350515464,0.264114943540226,0.34520780322307,0.723582474226804,0.84,0,0,0
"215","340030032003",0.892857142857143,NA,0.37890625,0.870408163265306,0.8,0,0,0
"216","340030032004",0.939012584704743,0.41499834000664,0.479899497487437,0.866408518877057,0.72,0,0,0
"217","340030032005",0.752054794520548,0.288330846676613,0.340384615384615,0.806849315068493,0.76,0,0,0
"218","340030033001",0.949830890642616,0.62249751000996,0.35177539223782,0.692220969560316,0.8,0,0,0
"219","340030033002",0.953424657534247,0.516361934552262,0.529929577464789,0.612328767123288,0.6,0,0,0
"220","340030033003",0.916104146576664,0.475554097783609,0.4002574002574,0.530376084860174,0.72,0,0,0
"221","340030033004",1,0.519061923752305,0.302931596091205,0.523952095808383,0.72,0,0,0
"222","340030033005",0.820638820638821,0.56499774000904,0.521358159912377,0.748566748566749,0.6,0,0,0
"223","340030033006",0.984441301272984,0.619425522297911,0.577330508474576,0.908062234794908,0.6,0,0,0
"224","340030034011",0.979670861568248,0.571425714297143,0.377245508982036,0.545014520813166,0.64,0,0,0
"225","340030034012",0.940782122905028,0.630829476682093,0.548892988929889,0.496648044692737,0.72,0,0,0
"226","340030034021",0.981818181818182,0.544581821672713,0.55530474040632,0.706060606060606,0.68,0,0,0
"227","340030034022",0.909803921568627,0.687305250778997,0.472826086956522,0.488888888888889,0.8,0,0,0
"228","340030034023",0.991231915826392,0.801996792012832,0.676528599605523,0.158702323542306,0.72,0,0,0
"229","340030035001",0.895604395604396,0.836360654557382,0.507777777777778,0.760989010989011,0.52,0,0,0
"230","340030035002",0.628970163618864,0.118555525777897,0.206798866855524,0.934071222329163,0.76,0,0,0
"231","340030035003",0.902186421173763,0.592065631737473,0.571653543307087,0.477560414269275,0.68,0,0,0
"232","340030040011",0.932602739726027,0.512329950680197,0.484756097560976,0.703825136612022,0.88,0,0,0
"233","340030040012",0.956038870893105,0.456666173335307,0.371912491178546,0.754225673823664,0.8,0,0,0
"234","340030040021",0.936443542934415,0.446410214359143,0.358326068003487,0.681541582150101,0.8,0,0,0
"235","340030040022",0.687638786084382,0.465714137143451,0.353932584269663,0.769059955588453,0.88,0,0,0
"236","340030040023",0.892592592592593,0.399542401830393,0.380952380952381,0.522222222222222,0.76,0,0,0
"237","340030040024",0.971896955503513,0.388382446470214,0.2678916827853,0.614363778298205,0.96,0,0,0
"238","340030050001",1,0.460486158055368,0.288568257491676,0.178394826930392,0.76,0,0,0
"239","340030050002",0.925090252707581,0.480474078103688,0.422028353326063,0.435018050541516,0.64,0,0,0
"240","340030050003",0.958005249343832,0.353222587109652,0.488275862068966,0.373578302712161,0.68,0,0,0
"241","340030050004",0.972299168975069,0.237019051923792,0.231722428748451,0.61865189289012,0.76,0,0,0
"242","340030050005",0.748677248677249,NA,0.0769230769230769,0.0767195767195767,0.88,0,0,0
"243","340030061011",0.982121573301549,0.334614661541354,0.388888888888889,0.237187127532777,0.64,0,0,0
"244","340030061012",0.821325648414986,0.425894296422814,0.484885126964934,0.569644572526417,0.68,0,0,0
"245","340030061013",0.840501792114695,0.553649785400858,0.672727272727273,0.421146953405018,0.72,0,0,0
"246","340030061014",0.921775898520085,0.420462318150727,0.403846153846154,0.687103594080338,0.68,0,0,0
"247","340030061021",1,0.499810000759997,0.256926952141058,0.730213351686167,0.84,0,0,0
